Time[s], vd1.8V
10.98306384, 0
10.98332344, 1
11.01646936, 0
11.01668049, 1
11.04982717, 0
11.05005431, 1
11.08320001, 0
11.08479117, 1
11.11793686, 0
11.11949143, 1
11.15263763, 0
11.15784856, 1
11.19099436, 0
11.19579199, 1
11.22893887, 0
11.22923409, 1
11.26237975, 0
11.26270946, 1
11.29585588, 0
11.29606854, 1
11.32921420, 0
11.32940540, 1
11.36255184, 0
11.36313722, 1
11.39628376, 0
11.39687396, 1
11.43002020, 0
11.43049421, 1
11.46364162, 0
11.46382704, 1
11.49695471, 0
11.49712979, 1
11.53025715, 0
11.53046023, 1
11.56358898, 0
11.56564019, 1
11.59876740, 0
11.59895604, 1
11.63207072, 0
11.63259103, 1
11.66570446, 0
11.66730473, 1
11.70041837, 0
11.70069996, 1
11.73381388, 0
11.73425985, 1
11.76738410, 0
11.76760496, 1
11.80072751, 0
11.80092598, 1
11.83404836, 0
11.84010879, 1
11.87323274, 0
11.87436594, 1
11.90748923, 0
11.91222013, 1
11.94534353, 0
11.94556317, 1
11.97869097, 0
11.97888790, 1
12.01201637, 0
12.01397839, 1
12.04710625, 0
12.04791519, 1
12.08104387, 0
12.08124692, 1
12.11437593, 0
12.11480931, 1
12.14792290, 0
12.14811564, 1
12.18122957, 0
12.18321794, 1
12.21633233, 0
12.21710617, 1
12.25021995, 0
12.25041847, 1
12.28353196, 0
12.28405873, 1
12.31717270, 0
12.31737428, 1
12.35050226, 0
12.35595683, 1
12.38907987, 0
12.38928446, 1
12.42240752, 0
12.42436816, 1
12.45749254, 0
12.45814842, 1
12.49128984, 0
12.49153371, 1
12.52467278, 0
12.52622454, 1
12.55935614, 0
12.55998628, 1
12.59311820, 0
12.59332014, 1
12.62646631, 0
12.62810390, 1
12.66125638, 0
12.66149041, 1
12.69463613, 0
12.69524280, 1
12.72839191, 0
12.73058033, 1
12.76373010, 0
12.76395635, 1
12.79711670, 0
12.79885944, 1
12.83193839, 0
12.83247792, 1
14.01549717, 0
14.01568994, 1
14.04896964, 0
